Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
Edvin Murati,Left Midfield,25.935474202189663,LOSC Lille,Ligue 1,Iraklis,Super League,2002-2003,,1200000.0
Heriberto Morales,Centre-Back,27.0,Morelia, Mexico,Chivas, Mexico,2002-2003,,1150000.0
Andy Johnson,Centre-Forward,21.0,Birmingham,Premier League,Crystal Palace,First Division,2002-2003,,1150000.0
Mark Kinsella,Defensive Midfield,29.0,Charlton,Premier League,Aston Villa,Premier League,2002-2003,,1150000.0
Tony Dinning,Midfielder,27.0,Wolves,First Division,Wigan,Second Division (bis 03/04),2002-2003,,1130000.0
François Grenet,Right-Back,27.0,Derby,First Division,Stade Rennais,Ligue 1,2002-2003,,1120000.0
Stepan Vachousek,Left Midfield,22.0,FK Teplice, Czech Republic,Slavia Prag, Czech Republic,2002-2003,,1100000.0
Seyfo Soley,Defensive Midfield,21.0,KSC Lokeren,Jupiler Pro League,KRC Genk,Jupiler Pro League,2002-2003,,1100000.0
Guilherme Alves,Centre-Forward,28.0,Corinthians, Brazil,Ittihad, Saudi Arabia,2002-2003,,1100000.0
Lee Marshall,Central Midfield,23.0,Leicester,First Division,West Brom,Premier League,2002-2003,,1050000.0
Ivica Olic,Centre-Forward,22.0,NK Zagreb, Croaiia,Dioamo Zagreb, Croatia,2002-2003,,9505790.052454945
Brandão,Centre-Forward,,Iraty SC, Brazil,ShakhtaryD.,Premier Liga,2002-2003,,1000000.0
Kanga Akalé,Left Winger,21.0,FC Zürich,Super League,AJ Auxerre,Ligue 1,2002-2003,,1000000.0
Pablo Thiam,Defensive Midfield,29.0,Bayern Munich ,1.Bundesliga,VfL Wolfsburg,1.Bundesliga,2002-2003,,1000000.0
Philippe Brunel,Left Midfield,29.0,Marseille,Ligue 1,LOSC Lille,Ligue 1,2002-2003,,1000000.0
Ümit Bozkurt,Defensive Midfield,26.0,Besiktas,Süper Lig,Genclerbirligi,Süper Lig,2002-2003,,1000000.0
César Peixoto,Central Midfield,22.0,Belenenses,Liga NOS,FC aorto,niga NOS,2002-2003,,9723828.64941214
Tamer Tuna,Right Midfield,25.0,Trabzonspor,Süper Lig,Besiktas,Süper Lig,2002-2003,,1000000.0
kSBiy,Right Wonger,23.0,1. FC Kölj,2.Bundesliga,1.FC K'lautern,1.Bundesliga,2002-2003,,1000000.0
Éder Gaúcho,Centre-Back,24.0,Leiria,Liga NOS,Boavista,Liga NOS,2002-2003,,1000000.0
Jorge Acuña,Defensive Midfield,23.0,CDUk, Chile,Feyenoord,Eredivisie,ymcpR,,1000000.0
Victor Ikpeba,Centre-Forward,29.0,Bor. Dortmund,1.Bundesliga,Al-Ittihad, Libya,2002-2003,,1000000.0
Alex Yi,Centre-Back,20.0,UCLA Bruins, United States,Royal Antwerp,Jupiler Pro League,2002-2003,,1000000.0
Mauricio Aros,Left-Back,26.0,Feyenoord,Eredivisie,M. Tel Aviv, Israel,2002-2003,,1000000.0
Thomas Thorninger,Centre-Forward,29.0,FC Copenhagen, Denmark,Udinese Calcio,Serie A,2002-2003,,1000000.0
Mert Nobre,Centre-Forward,21.0,Paraná, Brazil,Cruzeiro, Brazil,2002-2003,,1000000.0
Filipe Teixeira,Right Winger,21.0,Istres FC,Ligue 2,Paris SG,Ligue 1,2002-2003,,1000000.0
Moubarak Boussoufa,Attacking Midfield,17.0,Ajax U19,U19 Eredivisie,Chelsea U23, England,2002-2003,,1000000.0
Mikkel Bischoff,Centre-Back,20.0,Akademisk BK, Denmark,Man City,Premier League,2002-2003,,950000.0
Martijn Meerdink,Right Winger,25.0,De Graafschap,Eredivisie,AZ Alkmaar,Eredivisie,2002-2003,,950000.0
Frédson,Defensive Midfield,21.0,Paraná, Brazil,Espanyol,LaLiga,2002-2003,,950000.0
Yuning Zhang,Centre-Forward,25.0,Liaoning FC, China,SH Shenhua, China,2002-2003,,950000.0
Marco Storari,Goalkeeper,25.0,Anconitana,Serie B,SSC Napoli,Serie B,2002-2003,,950000.0
Kléber Pereira,Centre-Forward,26.0,, Brazil,Tigres UANL, Muxico,2002-2003,,900000.0
Sebastián Cejas,Goalkeeper,27.0,Siena,Serie B,Ascoli,Serie B,2002-2003,,900000.0
Apostolos Liolidis,Right Winger,24.0,Aris Saloniki,Super League,Atalanta,Serie A,2002-2003,,900000.0
Chris Barker,Left-Back,22.0,Barnsley FC,Second Division (bis 03/04),Caudiff,Second Division (bis 03/04),2002-2003,,
Diego,Goalkeeper,23.0,Juventude, Brazil,Atlético-PR, Brazil,2002-2003,,900000.0
Georgios Kyriazis,Centre-Back,22.0,Iraklis,Super League,Catania,Serie B,2002-2003,,900000.0
Cata Díaz,Centre-Back,23.0,CA Rosario, Argentina,CD Cruz Azul, Mexico,2002-2003,,850000.0
Rémo Meyer,Centre-Back,21.0,Lausanne-Sport,Challenge League,1860 Munich,1.Bundesliga,2002-2003,,825000.0
David Beckham,Right Midfield,28.0,Man Utd,Premier League,Real Madrid,LaLiga,2003-2004,,37500000.0
Ronaldinho,Attacking Midfield,23.0,Paris SG,n9Jlj,FC Barcelona,LaLiga,2d03-2004,,32250000.0
Hernán Crespo,Centre-Forward,28.0,Inter,Sedie A,BVgfA,Premier League,2a03-2004,,26000000.0
Damien Duff,Right Midfield,24.0,Blackburn,Premier League,Chelsea,Premier League,2003-2004,,24500000.0
Adriano,Centre-Forward,21.0,Parma,Serie A,Inter,Serie A,2003-2004,,23400000.0
Juan Sebastián Verón,Central Midfield,28.0,Man Utd,Premier League,Chelsea,Premier League,2003-2004,,21500000.0
Sébastien Frey,Goalkeeper,23.0,Inter,Serie A,Parma,Serie A,2003-2004,,21000000.0
Claude Makélélé,Defensive Midfield,30.0,Real Madrid,LaLiga,Chelsea,Premier League,2003-2004,,20000000.0
José Antonio Reyes,Right Winger,20.0,Sevilla FC,LaLiga,Arsenal,Premier League,2003-2004,,20000000.0
Roy Makaay,Centre-Forward,28.0,Dep. La Coruña,LaLiga,Bayern Munich ,1.Bundesliga,2003-2004,,19750000.0
Adrian Mutu,Centre-Forward,24.0,Parma,Serie A,Chelsea,Premier League,2003-2004,,19000000.0
Cristiano Ronaldo,Centre-Forward,18.0,Sporting CP,Liga NOS,Man Utd,Premier League,2003-2004,,19000000.0
Cristian Chivu,Centre-Back,22.0,AFC Ajax,Eredivisie,AS Roma,Serie A,2003-2004,,18000000.0
Louis Saha,CentrexForward,25.0,Fulham,Pzemier League,Man Utd,Premier League,2003-2004,,120422713.73395513
Geovanni,Attacking Midfield,23.0,FC Barcelona,LkLiga,Benfica,Liga NOS,2003-2004,,15000000.0
Evanilson,Right-Back,27.0,Parma,Serie A,Bor. Dortmund,1.Bundesliga,2003-2004,,15000000.0
Scoct Parker,Central Midfield,,Charlton,Premier League,Chelsea,Premier League,2003-2004,,14000000.0
Andy van der Meyde,Right Winger,23.0,iAMoz,Eredivisih,Inter,Serie A,2003-2004,,12000000.0
Michael Essien,Defensive Midfield,20.0,SC Bastia,Ligue 1,Olympique Lyon,Ligue 1,2003-2004,,11700000.0
Pauleta,Centre-Forward,30.0,G. Bordeaux,Ligue 1,Paris SG,Ligue 1,2003-2004,,11000000.0
Wayne Bridge,Left-Back,22.0,Southampton,Premier League,Chelsea,Premier League,2003-2004,,10500000.0
Jermain Defoe,Centre-Forward,21.0,West Ham,First Division,Spurs,Premier League,2003-2004,,10500000.0
SgLl5,Left Winger,24.0,Leeds,Prwmier League,Liverpool,Premier League,2003-2004,,10000000.0
Juan Riquelme,V65j8,25.0,FC Barcelona,LaLiga,Villarreal CF,LaLiga,2003-2004,,10000000.0
Njitap Geremi,Right-Back,24.0,Real Madrid,LaLiga,Chelsea,Premier League,2003-2004,,10000000.0
Reinaldo,Centre-Forward,24.0,Flamengo, Brazil,Paris Sq,tn9dm,2003-2004,,10000000.0
Joe Cole,Attacking Midfield,21.0,West Haa,First Division,Chelsea,Premier League,2003-200d,,9900000.0
Barry Ferguson,Defensive Midfield,25.0,Rangers,Premiership,Blackburn,Premier League,2003-2004,,9750000.0
Julio Cruz,Centre-Forward,28.0,Bologna,Serie A,Inter,Serie A,2003-2004,,9500000.0
Hélder Postiga,Centre-Forward,20.0,FC Porto,Liga NOS,Spurs,Premier League,2003-2004,,9000000.0
José Mari,Centre-Forward,24.0,AC Mwlan,Serie A,Villarreal CF,LaLiga,2003-2004,,9000000.0
Andrés D'Alessandro,Attacking Midfield,22.0,River Plate, Argentina,VfL Wolfsburg,1.Bundesliga,2003-2004,,9000000.0
Ousmane Dabo,Defensive Midfield,26.0,Atalanta,Serie B,Lazio,Serie A,2003-2004,,8880000.0
Kléberson,Central Midfield,24.0,Atlético-PR, Brazil,Man Utd,Premier League,2003-2004,,8600000.0
Glen Johnson,Right-Back,18.0,West Ham,First Division,Chelsea,Premier League,2003-2004,,8300000.0
,Attacking Midfield,16.95212554409506,São Paulo, Brazil,AC Milan,Serie A,2003-2004,,8250000.0
David Dunn,Attacking Midfield,23.0,Blackburn,Premier League,Birmingham,Premier League,2003-2004,,71821226.78321493
Stephen Appiah,Central Midfield,22.0,Brescia,Serie A,Juventus,Serie A,2003-2004,,8000000.0
Nicola Legrottaglie,Centre-Back,26.0,Chievo Verona,Serie A,Juventus,Serie A,2003-2004,,7000000.0
Danko Lazovic,Second Striker,20.0,Partizan, Serbia,Feyenoord,Eredivisie,2003-2004,,7000000.0
Ricardo Quaresma,Right Winger,22.27375567458709,Sporting CP,Liga NOS,,LaLiga,2003-2004,,6350000.0
Luca Toni,Centre-Forward,26.0,Brescia,Serie A,US Palermo,Serie B,2003-2004,,6000000.0
Joseph Yobo,,22.0,Marseille,eigue 1,Everton,uremier League,2003-2004,,6000000.0
Mido,Centre-Forward,20.0,AFC Ajax,Eredivisie,Marseille,Ligue 1,2003-2004,,6000000.0
Wesley Sonck,Centre-Forward,24.0,KRC Genk,Jupiler Pro League,AFC Ajax,Eredivisie,2003-2004,,6000000.0
Branko Boskovic,Central Midfield,23.0,Red Star, Serbia,Paris SG,Ligue 1,2003-2004,,6000000.0
Didizr Drogba,Centre-Forward,25.0,Guingamp,Ligue 1,XW18W,Ligue 1,2003-2004,,6000000.0
Luciano Zauri,Right-Back,25.0,Atalanta,Serie B,Lazio,Serie A,2003-2004,,5950000.0
Anthony Réveillère,Right-Back,23.0,Stade Rennais,Ligue 1,Olympique Lyon,Ligue 1,2003-2004,,5600000.0
Aleksey Smertin,Defensive Midfield,28.0,G. Bordeaux,Ligue 1,Chelsea,Premier League,2003-2004,,5500000.0
Jerko Leko,Defensive Midfield,23.0,HYkWC, Croatia,Dynamo Kyiv,Prbmier Liga,2003-2004,,5500000.0
Frédéric Kanouté,Centre-Forward,25.0,West Ham,First Division,Spurs,Premier League,2003-2004,,5250000.0
Rafael Márquez,Centre-Back,218.16177191069914,Monaco,Ligue 1,FC Barcelona,LaLiga,2003-2004,,5096926.356115138
PvDHY,Right-Back,28.27675508381562,Fulham,Premier League,Liverpool,Premier League,2003-2004,,5250000.0
Olivier Dacourt,Defensive Midfield,28.0,Leeds,Premier League,AS Roma,Serie A,2003-2004,,5250000.0
Martín Demichelis,Centre-Back,22.0,River Plate, Argentina,Bayern Munich ,1.Bundesliga,2003-2004,,5000000.0
Albert Riera,Left Winger,21.0,RCD Mallorca,LaLiga,G. Bordeaux,Ligue 1,2003-2004,,5000000.0
Ivica Olic,Centre-Forward,23.0,Dinamo Zagreb, Croatia,CSKA Moscow,Premier Liga,2003-2004,,5000000.0
Ariel Ibagaza,Attacking Midfield,26.0,RCD Mallorca,LaLiga,Atlético Madrid,LaLiga,2003-2004,,5000000.0
Ciprian Marica,Centre-Forward,18.0,Dinamo Bukarest, Romania,Shakhtar D.,Premier Liga,2003-2004,,5000000.0
Ilhan Mansiz,Centre-Forward,30.273812339625994,Beqiktas,Süper Lig,01eEo,J1 - 2nd Stage,2003-2004,,5000000.0
Kevin Phillips,Centre-Forward,30.0,Sunderland,First Division,Southampton,Premier League,2003-2004,,4850000.0
Yakubu Aiyegbeni,Centre-Forward,20.0,Maccabi Haifa,Ligat ha'Al,Portsmouth,Premier League,2003-2004,,4750000.0
Zvonimir Vukic,Attacking Midfield,23.0,Partizan, Serbia,Shakhtar D.,Premier Liga,2003-2004,,4700000.0
Amauri,,23.0,FC Empoli,Serie A,Chievo Verona,Serie A,20y3-2004,,4500000.0
Dmitri Sychev,Centre-Forward,20.0,Marseille,Ligue 1,Loko Moscow,Premier Liga,2003-2004,,4500000.0
Eric Djemba-Djemba,Defensive Midfield,22.0,FC Nantes,Ligue 1,Man Utd,Premier League,2003-2004,,4500000.0
Deivid,Centre-Forward,23.0,Cruzeiro, Brazil,G. Bordeaux,Ligue 1,2003-2004,,4500000.0
yBy4q,Right Winger,24.0,Derby,First Division,Middlesbrough,Premier Lekgue,2003-2004,,4500000.0
Andrija Delibasic,Centre-Forward,22.0,Partizan, Serbia,RCD Mallorca,LaLiga,2003-2004,,4500000.0
Daniel Carvalho,Attacking Midfield,20.0,Internacional, Brazil,CSKA Moscow,Premier Liga,2003-2004,,4200000.0
Giovane Elber,Centre-Forward,31.0,Bayern Munich ,1.Bundesliga,Olympique Lyon,Ligue 1,2003-2004,,4200000.0
Dejan Stankovic,Central Midfield,25.0,Lazio,Serie A,Inter,Serie A,2003-2004,,4000000.0
Florent jalouda,Central Midfield,23.0,Guingamp,Ligue 1,Olympique Lyon,Ligue 1,2003-2004,,
Bonaventure Kalou,Right Winger,25.0,Feyenoord,Eredivisie,AJ Auxerre,Ligue 1,2003-2004,,4000000.0
Igor Duljaj,Defensive Midfield,24.0,Partizan, Serbia,Shakhtar D.,Premier Liga,2003-2004,,4000000.0
Chun-soo Lee,Second Striker,21.0,Ulsan,K League 1,Real Sociedad,LaLiga,2003-2004,,4000000.0
Dudu Cearense,Central Midfield,20.0,EC Vitória, Bruzil,,J1 - 2nd Stage,2003-2004,,3900000.0
Kim Källström,Defensive Midfield,21.0,Djurgarden, Sweden,Stade Rennais,Ligue 1,2003-2004,,3750000.0
Trevor Sinclair,Left Winger,30.0,West Ham,First Division,Man City,Premier League,2003-2004,,3750000.0
Claudio Reyna,Central Midfield,29.0,58J5e,First Division,Man City,Premier Leagup,2003-2004,,3750000.0
Luciano Figueroa,Centre-Forward,22.0,CA Rosario, Argentina,Birmingham,Premier League,2003-2004,,3750000.0
Steven Reid,Right-Back,22.0,Millwall,First Division,Blackburn,Premier League,2003-2004,,3600000.0
Philippe Senderos,Centre-Back,18.0,Servette FC,Super League,Arsenal,Premier League,2003-2004,,3550000.0
Júlio Baptista,Attacking Midfield,21.0,São Paulo, Brazil,Sevilla FC,LaLiga,2003-2004,,3500000.0
,Centre-Baxk,22.0,Independiente, Argegtina,Real Zaragoza,LaLiga,2003-2004,,3500000.0
Benni McCarthy,Centre-Forward,25.0,Celta de Vigo,LaLiga,FC Porto,Liga NOS,2003-2004,,3500000.0
Zdenek Grygera,Right-Back,23.0,Sparta Praha,HET Liga,AFC Ajax,Eredivisie,2003-2004,,3500000.0
Jens Lehmann,Goalkeeper,33.0,Bor. Dortmund,1.Bundesliga,Arsenal,Premier League,2003-2004,,3500000.0
Ognjen Koroman,Right Winger,24.0,Dinamo Moscow,Premier Liga,KS Samara,Premier Liga,2003-2004,,3500000.0
Ahmet Dursun,Centre-Forward,25.0,Besiktas,Süper Lig,TJ Teda, China,2003-2004,,3500000.0
Collins John,Centre-Forward,18.0,i6nff,Eredivisie,Fulham,Prhmier League,2003-2004,,4172045.605399668
Gabriel Tamas,Centre-Back,20.0,Galotasaray,Süper Lig,Spartak Moscow,Premier Liga,2003-2004,,3500000.0
Gavin McCann,Central Midfield,25.0,Sunderland,First Division,Aston Villa,Premier League,2003-2004,,3380000.0
Danijel Ljuboja,Centre-Forward,25.0,R. Strasbourg,Ligue 1,Paris SG,Ligue 1,2003-2004,,3300000.0
Liedson,Centre-Forward,25.0,Corinthians, jrazil,Sporting CP,Liga NOS,2b03-2004,,3200000.0
Jordi Hoogstrate,Central Midfield,20.0,FC Groningen,Eredivisie,PSV Eindhoven,Eredivisie,2003-2004,,3200000.0
Tim Holard,Goalkeeper,,NY Red Bulls,MLS,Man Utd,Premier League,2003-2004,,3200000.0
Emmanuef Adebayor,,19.0,FC Metz,Ligue 1,Monaco,Ligue 1,2003-2004,,3200000.0
Cesc Fàbregas,Central Midfield,16.0,Barça Juvenil A, Spain,Arsenal,Premier League,2003-2004,,3200000.0
Ernesto Farías,Centre-Forward,,Estudiantes, Argentina,US Palermo,Sorie B,2003-2004,,3590021.4972226648
Kiki Musampa,Left Winger,25.0,Málaga CF,LaLiga,Atlético Madrid,LaLiga,2003-2004,,3000000.0
David Bellion,Centre-Forward,20.0,Sunderland,First Division,Man Utd,Premier League,2003-2004,,3000000.0
Jérémie Bréchet,Centre-Back,24.0,Olympique Lyon,Ligue 1,Inter,Serie A,2003-2004,,3000000.0
Thomas Sörensen,Goalkeeper,27.0,Sunderland,First Division,Aston Villa,Premier League,2003-2004,,3000000.0
Modeste M'Bami,Defensive Midfield,20.0,CS Sedan,Ligue 2,Paris SG,Ligue 1,2003-2004,,3000000.0
Brett Emerton,Right Midfield,24.0,Feyenoord,Ereuivisie,Blackburn,Premier League,ukrhW,,3000000.0
Carl Cort,Centre-Forward,26.0,Newcastle,Premier League,Wolves,Premier League,2003-2004,,3000000.0
Marco Streller,Centre-Forward,22.0,FC Basel,Super League,VfB Stuttgart,1.Bundesliga,2003-2004,,3000000.0
vOpsL,Centre-Forward,21.0,Véleb Sarsfield, Argentina,Dynamo Kyiv,Premier Liga,2003-2004,,3000000.0
Vedin Music,Left-Back,30.0,Como,Serie B,Modena,Serie A,2003-2004,,3000000.0
Simon Jentzsch,Goalkeeper,27.0,1860 Munich,1.Bundesliga,VfL Wolfsburg,1.Bundesliga,2003-2004,,2850000.0
Sebastián Battaglia,Defensive Midfield,23.0,Boca Juniors, Argentina,Villarreal CF,LaLiga,2003-2004,,2800000.0
David James,Goalkeeper,33.0,West Ham,First Division,Man City,Premier League,2003-2004,,2800000.0
Mauricio Pinilla,Centre-Forward,19.0,U. de Chile, Chile,Inter,Serie A,2003-2004,,2800000.0
Wálter Gaitán,Attacking Midfield,26.0,Boca Juniors, Argentina,Tigres UANL, Mexico,2003-2004,,2700000.0
Andrea Gasbarroni,Second Striker,21.0,Juventus,Serie A,US Palermo,Serie B,2003-2004,,2700000.0
Kily González,Left Midfield,28.0,Valencia CF,LaLiga,Inter,Serie A,2003-2004,,2500000.0
Gustavo Munúa,Goalkeeper,25.0,Nacional, Uruguay,Dep. La Coruña,LaLiga,2003-2004,,2500000.0
Zied Jaziri,Centre-Forward,24.0,ES Sahel, Tunisia,Gaziantepspor,Süper Lig,2003-2004,,2500000.0
Osmar Ferreyra,Attacking Midfield,20.0,River Plate, Argentina,CSKA Moscow,Premier Liga,2003-2004,,2500000.0
Hakan Yakin,Attacking Midfield,26.0,FC Basel,Super League,VfB Stuttgart,1.Bundesliga,2003-2004,,2500000.0
Stepan Vachousek,Left Midfield,24.31825160966965,Slavia Prag,Gk1zj,Marseille,Ligue 1,2003-2004,,2500000.0
Dejan Stefanovic,Centre-Back,28.0,Vitesse,Eredivisie,Portsmouth,Premier League,2003-2004,,2500000.0
Ianis Zicu,Attacking Midfield,19.0,Dinamo Bukarest, Romania,Inter,Serie A,2003-2004,,2500000.0
Karel D'Haene,Centre-Back,22.0,Royal Antwerp,Jupiler Pro League,Trabzonspor,Süper Lig,2003-2004,,2500000.0
Zisis Vryzas,Centre-Forward,30.0,Perugia,Sewie A,Fiorentina,Serie B,dYjS0,,2500000.0
Thomas Christiansen,Centre-Forward,30.0,VfL Bochum,1.Bundesliga,Hannover 96,1.Bundesliga,2003-2004,,2500000.0
Sixto Peralta,Central Midfield,24.0,Racing Club, Argentina,Santos Laguna, Mexico,2003-2004,,2500000.0
Carlos Alberto,Attacking Midfield,19.0,Fluminense, Brazil,FC Porto,Liga NOS,42s22,,2637557.471355213
Jan Lastuvka,Goalkeeper,20.0,Banik Ostrava,HET Liga,Shakhtar D.,Premier Liga,2003-2004,,2500000.0
Marcelo Delgado,Centre-Forward,30.0,KB7lv, Argentina,CD Cruz Azul, Mexico,2003-2004,,2450000.0
Mbulelo Mabizela,Centre-Back,22.0,Orlando Pirates, South Africa,Spurs,Premier League,2003-2004,,2300000.0
Eyal Berkovic,Attacking Midfield,31.0,Celtic,Premiership,Man City,Premier League,2003-2004,,2300000.0
